"racetime","tall","weight","armspan","flexarm","thighci","calfcir","tricep","biceps","thigh","estffm","estfm","bestsnr","bestvj","legpower","endo","meso","ecto","expvarsity","preexper"
445,178.4,71.1,182.88,30.5,56.5,35.5,14,8,25,58.25005,12.83995,35,17,100.9,3.74687,2.51537,2.96319,1,0
433.3,174.8,90.1,175.26,36.5,63,41.5,24,15,34,68.1788,21.9212,37,18,132.75563,6.61664,5.77945,0.43527,1,0
440.5,174.4,78.6,173.9,33,59,36,21,14,21,62.5378,16.0622,48,16,108.99273,5.6488,3.74437,1.24729,1,0
449.8,181.9,73.3,189.23,30.5,55,38,23,14,29,57.27173,16.02827,32,14,94.85932,5.42882,2.14072,3.19823,1,0
433.5,174.6,78.7,171,35,61,39,24,14,31,61.14193,17.55807,30,15,107.35678,3.66283,5.80533,1.21378,0,1
451.2,172.5,69,173.99,29,54,38,14,5,21,55.00067,13.99933,40,17,100.20345,4.28905,2.87078,2.21756,1,1
437.3,172.2,72.4,175.26,32,58.5,37.5,14,9,24,58.5242,13.8758,49,14,95.41391,4.45152,3.55818,1.64791,1,0
416.3,181.9,78,178.4,33,54,36.1,18,8,22,62.58,15.42,33,15,106.4019,4.13999,2.77458,2.60286,1,0
460,181.5,84,186.055,33,63,37,23,9,34,63.90233,20.09767,43,14,110.70123,5.79355,2.95818,1.75288,1,0
428.4,177.1,74.5,182.88,31,57,40,20,8,27,60.36667,14.13333,42,20,117.34927,4.05991,3.71572,2.21268,1,0
447,173.6,73.8,176.53,31,59,39.5,19,9,28,55.95107,17.84893,50,17,105.58627,6.7637,3.88943,1.74821,1,0
420.7,173.1,81.6,177.8,34.5,61.5,41,26,9,34,62.0348,19.5652,40,14,105.60055,6.19186,5.66687,0.83666,1,1
495,163.8,62.4,163.83,29,54,35.5,19,10,21,50.94053,11.45947,34,8,60.19,5.29858,3.28712,1.62191,0,1
455.8,176.6,65.5,177.8,28,56,38.1,15,7,21,54.02933,11.47067,45,17,93.7114,3.21926,2.49292,3.49722,0,0
472.3,169.6,59.2,172.72,27.5,51.5,35.5,15,7,22,48.46993,10.73007,34,10,64.26768,4.63758,3.41135,3.25262,0,0
452.5,179.9,73.2,177.8,32,57,35.5,24,9,35,55.91693,17.28307,49,12,89.31221,5.13332,2.36153,2.92402,0,0
480.1,176.2,72.9,182.88,31,56,37.8,25,12,31,55.64953,17.25047,30,11,85.15948,5.70506,3.20767,2.27608,0,0
464,173.8,81,179.07,32.5,58.5,40.5,20,14,26,63.392,17.608,49,15,110.49428,6.04886,4.74335,0.95416,0,0
